Country,Dwellings without basic facilities,Housing Expenditure,Rooms per person,Household net adjusted disposable income,Household net wealth,Labour market insecurity,Employment rate,Long-term unemployment rate,Personal earnings,Quality of support network,Educational attainment,Student skills,Years in education,Air pollution,Water quality,Stakeholder engagement for developing regulations,Voter turnout,Life expectancy,Self-reported health,Life satisfaction,Feeling safe walking alone at night,Homicide rate,Employees working very long hours,Time devoted to leisure and personal care
Australia,10.875,20.0,1.5333333333333332,32759.0,427064.0,5.4,73.0,1.31,49126.0,95.0,81.0,502.0,21.0,5.0,93.0,2.7,91.0,82.5,85.0,7.3,63.5,1.1,13.04,14.35
Austria,0.9,21.0,1.6,33541.0,308325.0,3.5,72.0,1.84,50349.0,92.0,85.0,492.0,17.0,16.0,92.0,1.3,80.0,81.7,70.0,7.1,80.6,0.5,6.66,14.55
Belgium,1.9,21.0,2.2,30364.0,386006.0,3.7,63.0,3.54,49675.0,91.0,77.0,503.0,19.3,15.0,84.0,2.0,89.0,81.5,74.0,6.9,70.1,1.0,4.75,15.7
Canada,0.2,22.0,2.6,30854.0,423849.0,6.0,73.0,0.77,47622.0,93.0,91.0,523.0,17.3,7.0,91.0,2.9,68.0,81.9,88.0,7.4,82.2,1.3,3.69,14.56
Chile,9.4,18.0,1.2,24642.833333333332,100967.0,8.7,63.0,3.0408333333333335,25879.0,85.0,65.0,443.0,17.5,16.0,71.0,1.3,47.0,79.9,57.0,6.5,47.9,4.2,9.72,15.123333333333333
Colombia,23.9,17.0,1.2,26562.083333333332,285137.4166666667,9.716666666666667,67.0,0.79,31903.583333333332,89.0,54.0,410.0,14.1,10.0,75.0,1.4,53.0,76.2,64.41666666666667,6.3,44.4,24.5,26.56,15.125833333333333
Czech Republic,0.7,24.0,1.4,21453.0,190908.83333333334,3.1,74.0,1.04,25372.0,91.0,94.0,491.0,17.9,20.0,87.0,1.6,61.0,79.1,60.0,6.7,72.3,0.5,5.65,14.994166666666667
Denmark,0.5,23.0,1.9,29606.0,118637.0,4.2,74.0,1.31,51466.0,95.0,81.0,504.0,19.5,9.0,95.0,2.0,86.0,80.9,71.0,7.6,83.5,0.6,2.34,15.87
Estonia,7.0,17.0,1.6,19697.0,159373.0,3.8,74.0,1.92,24336.0,92.0,89.0,524.0,17.7,8.0,84.0,2.7,64.0,77.8,53.0,5.7,69.0,3.1,2.42,14.9
Finland,0.5,23.0,1.9,29943.0,200827.0,3.9,70.0,2.13,42964.0,95.0,88.0,523.0,19.8,6.0,95.0,2.2,67.0,81.5,70.0,7.6,85.1,1.3,3.81,15.17
France,0.5,21.0,1.8,31304.0,280653.0,7.6,65.0,4.0,43755.0,90.0,78.0,496.0,16.5,13.0,81.0,2.1,75.0,82.4,66.0,6.5,70.5,0.5,7.67,16.36
Germany,0.2,20.0,1.8,34294.0,259667.0,2.7,75.0,1.57,47585.0,90.0,87.0,508.0,18.1,14.0,91.0,1.8,76.0,81.1,65.0,7.0,72.5,0.5,4.26,15.62
Greece,0.5,23.0,1.2,17700.0,150134.0,29.8,53.0,15.65,26064.0,80.0,73.0,458.0,19.0,18.0,69.0,1.8,64.0,81.5,74.0,5.4,60.0,0.8,6.42,15.123333333333335
Hungary,4.7,19.0,1.2,24642.833333333332,104458.0,4.7,68.0,1.72,22576.0,86.0,84.0,474.0,16.4,19.0,77.0,1.2,70.0,76.2,60.0,5.6,56.3,1.0,3.03,15.123333333333333
Iceland,0.0,24.0,1.6,33650.0,350770.3333333333,0.7,86.0,0.26,61787.0,98.0,77.0,481.0,19.0,3.0,99.0,2.1,79.0,82.3,76.0,7.5,86.0,0.5,15.06,15.136666666666663
Ireland,1.0,20.0,2.1,25310.0,217130.0,7.8,67.0,3.23,47653.0,95.0,82.0,509.0,18.1,7.0,85.0,1.3,65.0,81.8,83.0,7.0,75.9,0.7,5.25,15.236666666666665
